"LABEL","PLATFORM","TYPE","RUSSIAN","ENGLISH","AMERICAN"
"CS_ABBYYATES_HUHALRIGHTWELL_ENG","All","Subtitle","Abby Yates: Huh, alright. Well we know it's down here somewhere. Let's split up and if you see anything, get on the walkie.","Эбби Йейтс: Хм, ладно. Мы знаем, что оно где-то здесь. Разделимся. Если что-нибудь увидите — выходите на связь по рации.","Эбби Йейтс: Хм, ладно. Мы знаем, что оно где-то здесь. Разделимся. Если что-нибудь увидите — выходите на связь по рации."
"CS_ABBYYATES_ICANTREACHTHE_ENG","All","Subtitle","Abby Yates: I can't reach the trigger!","Эбби Йейтс: Я не могу дотянуться до спускового крючка!","Эбби Йейтс: Я не могу дотянуться до спускового крючка!"
"CS_ABBYYATES_IDIDNTEVENKNOW_ENG","All","Subtitle","Abby Yates: I didn't even know it did that!","Эбби Йейтс: Я даже не знала, что оно так умеет!","Эбби Йейтс: Я даже не знала, что оно так умеет!"
"CS_ABBYYATES_IDONTNEEDYOUR_ENG","All","Subtitle","Abby Yates: I don't need your permission.","Эбби Йейтс: Мне не нужно твоё разрешение.","Эбби Йейтс: Мне не нужно твоё разрешение."
"CS_ABBYYATES_IKNOWYOURE_ENG","All","Subtitle","Abby Yates: I know you're having a ball bringing all these ghosts into New York but the thing is, we happen to like this world the way it is.","Эбби Йейтс: Я знаю, тебе очень нравится наводнять Нью-Йорк призраками, но нам нравится этот мир таким, какой он есть.","Эбби Йейтс: Я знаю, тебе очень нравится наводнять Нью-Йорк призраками, но нам нравится этот мир таким, какой он есть."
"CS_ABBYYATES_ILLGOFINDASWEET","All","Subtitle","I'll go hook us up with a sweet new HQ.","Я пойду найду нам классную новую штаб-квартиру.","Я пойду найду нам классную новую штаб-квартиру."
"CS_ABBYYATES_ILLGOFINDASWEET_ENG","All","Subtitle","Abby Yates: I'll go find a sweet new base of operations.","Эбби Йейтс: Я пойду найду нам отличную новую базу.","Эбби Йейтс: Я пойду найду нам отличную новую базу."
"CS_ABBYYATES_ILLHOLDTHEMOFF_ENG","All","Subtitle","Abby Yates: I'll hold them off, meet you inside!","Эбби Йейтс: Я их задержу! Встретимся внутри!","Эбби Йейтс: Я их задержу! Встретимся внутри!"
"CS_ABBYYATES_ILLTELLYOUWHAT_ENG","All","Subtitle","Abby Yates: I'll tell you what just happened...","Эбби Йейтс: Сейчас расскажу, что только что произошло...","Эбби Йейтс: Сейчас расскажу, что только что произошло..."
"CS_ABBYYATES_ITLLTURNTHAT_ENG","All","Subtitle","Abby Yates: It'll turn that portal into a giant ghost trap. Nice thinking, Patty.","Эбби Йейтс: Это превратит портал в гигантскую ловушку для призраков. Отличная идея, Пэтти.","Эбби Йейтс: Это превратит портал в гигантскую ловушку для призраков. Отличная идея, Пэтти."
"CS_ABBYYATES_ITSJUSTALOTOF_ENG","All","Subtitle","Abby Yates: It's just a lot of bits and pieces. I'm pretty sure none of it is supposed to be in the subway though.","Эбби Йейтс: Тут сплошные детали. Почти уверена, что им не место в метро.","Эбби Йейтс: Тут сплошные детали. Почти уверена, что им не место в метро."
"CS_ABBYYATES_ITSWHYPEOPLE_ENG","All","Subtitle","Abby Yates: It's why people were interested talking about it on television.","Эбби Йейтс: Вот почему об этом говорили по телевизору.","Эбби Йейтс: Вот почему об этом говорили по телевизору."
"CS_ABBYYATES_JUSTBECAUTIOUS_ENG","All","Subtitle","Abby Yates: Just be cautious.","Эбби Йейтс: Будьте осторожны.","Эбби Йейтс: Будьте осторожны."
"CS_ABBYYATES_KEVINCOMEINSIDE_ENG","All","Subtitle","Abby Yates: Kevin, come inside!","Эбби Йейтс: Кевин, зайди внутрь!","Эбби Йейтс: Кевин, зайди внутрь!"
"CS_ABBYYATES_LADIESLETSGEAR_ENG_ALT01","All","Subtitle","Abby Yates: Ladies, let's gear up and hit that Mercado.","Эбби Йейтс: Девочки, вооружаемся и идём к Меркадо.","Эбби Йейтс: Девочки, вооружаемся и идём к Меркадо."
"CS_ABBYYATES_LETSSPLITUP_ENG","All","Subtitle","Abby Yates: Let's split up. Walkie if you see anything.","Эбби Йейтс: Разделимся. Если что-нибудь увидите — сообщайте по рации.","Эбби Йейтс: Разделимся. Если что-нибудь увидите — сообщайте по рации."
"CS_ABBYYATES_NO_ENG","All","Subtitle","Abby Yates: No!","Эбби Йейтс: Нет!","Эбби Йейтс: Нет!"
"CS_ABBYYATES_NOIMGOODTHANK_ENG","All","Subtitle","Abby Yates: No, I'm good. Thank you for asking.","Эбби Йейтс: Нет, у меня всё в порядке. Спасибо, что спросили.","Эбби Йейтс: Нет, у меня всё в порядке. Спасибо, что спросили."
"CS_ABBYYATES_NOTBADGHOSTGIRL_ENG","All","Subtitle","Abby Yates: Not bad, ghost girl.","Эбби Йейтс: Неплохо, девочка-призрак.","Эбби Йейтс: Неплохо, девочка-призрак."
"CS_ABBYYATES_NOTHINGALICKOF","All","Subtitle","Nothing a lick of paint and thirty gallons of industrial bleach won't fix.","Ничего, что не исправили бы немного краски и тридцать галлонов промышленного отбеливателя.","Ничего, что не исправили бы немного краски и тридцать галлонов промышленного отбеливателя."
"CS_ABBYYATES_NOTHINGALICKOF_ENG","All","Subtitle","Abby Yates: Nothing a lick of paint and thirty gallons of industrial bleach won't fix.","Эбби Йейтс: Ничего, что не исправили бы немного краски и тридцать галлонов промышленного отбеливателя.","Эбби Йейтс: Ничего, что не исправили бы немного краски и тридцать галлонов промышленного отбеливателя."
"CS_ABBYYATES_OHERRMAAMHIMAAM_ENG","All","Subtitle","Abby Yates: Oh, err, Ma'am. Hi, Ma'am, if you're waiting for take out you should really wait downstairs.","Эбби Йейтс: Эм... мэм. Здравствуйте. Если вы ждёте заказ навынос, вам лучше подождать внизу.","Эбби Йейтс: Эм... мэм. Здравствуйте. Если вы ждёте заказ навынос, вам лучше подождать внизу."
"CS_ABBYYATES_OHKEVIN_ENG","All","Subtitle","Abby Yates: Oh, Kevin!","Эбби Йейтс: Ох, Кевин!","Эбби Йейтс: Ох, Кевин!"
"CS_ABBYYATES_OHYOUWANTSOME_ENG","All","Subtitle","Abby Yates: Oh, you want some?!","Эбби Йейтс: А, хочешь драки?!","Эбби Йейтс: А, хочешь драки?!"
"CS_ABBYYATES_OKAYANDYOURE_ENG","All","Subtitle","Abby Yates: Okay, and you're going, you're gonna risk it for him, for that guy? Who cares if he's impressed... Come on!","Эбби Йейтс: Серьёзно? Ты готова рискнуть всем ради него? Ради этого парня? Какая разница, что он подумает... Пошли!","Эбби Йейтс: Серьёзно? Ты готова рискнуть всем ради него? Ради этого парня? Какая разница, что он подумает... Пошли!"
"CS_ABBYYATES_OKAYIFHEGETSONE_ENG","All","Subtitle","Abby Yates: Okay, if he gets one of his machines in there, and it's big enough, he's gonna be able to rip a hole right through that barrier.","Эбби Йейтс: Ладно, если он установит туда одну из своих машин, и она окажется достаточно большой, то сможет прорвать барьер.","Эбби Йейтс: Ладно, если он установит туда одну из своих машин, и она окажется достаточно большой, то сможет прорвать барьер."
"CS_ABBYYATES_OKAYLETSGOSAVE_ENG","All","Subtitle","Abby Yates: Okay, let's go save this city and get our terrible receptionist back. We aren't gonna find another one that pretty.","Эбби Йейтс: Ладно, идём спасать город и возвращать нашего ужасного секретаря. Другого такого красавчика нам не найти.","Эбби Йейтс: Ладно, идём спасать город и возвращать нашего ужасного секретаря. Другого такого красавчика нам не найти."
"CS_ABBYYATES_OKAYPOWERUP_ENG","All","Subtitle","Abby Yates: Okay, power up.","Эбби Йейтс: Так, включаем.","Эбби Йейтс: Так, включаем."
"CS_ABBYYATES_OKAYWEAREONTHE","All","Subtitle","Okay, we are on the cusp of something here. A real discovery. Unlike your university, this institute is one hundred percent behind us.","Мы стоим на пороге настоящего открытия. В отличие от вашего университета, этот институт полностью нас поддерживает.","Мы стоим на пороге настоящего открытия. В отличие от вашего университета, этот институт полностью нас поддерживает."
"CS_ABBYYATES_OKAYWEAREONTHE_A_ENG","All","Subtitle","Abby Yates: Okay, we are on the cusp of something here. A real discovery.","Эбби Йейтс: Мы стоим на пороге настоящего открытия.","Эбби Йейтс: Мы стоим на пороге настоящего открытия."
"CS_ABBYYATES_OKAYWEAREONTHE_B_ENG","All","Subtitle","Abby Yates: Unlike your university, this institute is one hundred percent behind us.","Эбби Йейтс: В отличие от вашего университета, этот институт полностью нас поддерживает.","Эбби Йейтс: В отличие от вашего университета, этот институт полностью нас поддерживает."
"CS_ABBYYATES_OKPOWERUP","All","Subtitle","Abby Yates: Okay, power up.","Эбби Йейтс: Так, включаем.","Эбби Йейтс: Так, включаем."
"CS_ABBYYATES_QUITEWELL_ENG","All","Subtitle","Abby Yates: Quite well.","Эбби Йейтс: Вполне.","Эбби Йейтс: Вполне."
"CS_ABBYYATES_RUNRUN_ENG","All","Subtitle","Abby Yates: Run. Run.","Эбби Йейтс: Бегите! Бегите!","Эбби Йейтс: Бегите! Бегите!"
"CS_ABBYYATES_SEEIFYOUCANSHUT_ENG","All","Subtitle","Abby Yates: See if you can shut that thing down.","Эбби Йейтс: Попробуйте отключить эту штуку.","Эбби Йейтс: Попробуйте отключить эту штуку."
"CS_ABBYYATES_SHESGETTINGAWAY_ENG","All","Subtitle","Abby Yates: She's getting away, come on!","Эбби Йейтс: Она уходит! Скорее!","Эбби Йейтс: Она уходит! Скорее!"
"CS_ABBYYATES_SHUTITDOWN_ENG","All","Subtitle","Abby Yates: Shut it down.","Эбби Йейтс: Отключите её.","Эбби Йейтс: Отключите её."
"CS_ABBYYATES_STOPRIGHTTHERE_ENG","All","Subtitle","Abby Yates: Stop right there.","Эбби Йейтс: Стоять!","Эбби Йейтс: Стоять!"
"CS_ABBYYATES_STRANGEREADING_ENG","All","Subtitle","Abby Yates: Strange reading here.","Эбби Йейтс: Здесь странные показания.","Эбби Йейтс: Здесь странные показания."
"CS_ABBYYATES_THEBASEMENTDOOR_ENG","All","Subtitle","Abby Yates: The basement door is open.","Эбби Йейтс: Дверь в подвал открыта.","Эбби Йейтс: Дверь в подвал открыта."
"CS_ABBYYATES_THISISNTGOOD_ENG","All","Subtitle","Abby Yates: This isn't good.","Эбби Йейтс: Дело плохо.","Эбби Йейтс: Дело плохо."
"CS_ABBYYATES_THISMIGHTBEA_ENG","All","Subtitle","Abby Yates: This might be a crazy hunch but I think he's got that machine up and running again. C'mon.","Эбби Йейтс: Может, это безумная догадка, но, кажется, он снова запустил эту машину. Пошли.","Эбби Йейтс: Может, это безумная догадка, но, кажется, он снова запустил эту машину. Пошли."
"CS_ABBYYATES_TIMETOBUSTSOME_ENG","All","Subtitle","Abby Yates: Time to bust some ghosts!","Эбби Йейтс: Пора ловить призраков!","Эбби Йейтс: Пора ловить призраков!"
"CS_ABBYYATES_VORTEX_ENG","All","Subtitle","Abby Yates: Vortex!","Эбби Йейтс: Вортекс!","Эбби Йейтс: Вортекс!"
"CS_ABBYYATES_WAITWAITWAIT_A_ENG","All","Subtitle","Abby Yates: WAIT WAIT WAIT! WOOOAH!","Эбби Йейтс: СТОЙТЕ! СТОЙТЕ! УУУУУ!","Эбби Йейтс: СТОЙТЕ! СТОЙТЕ! УУУУУ!"
"CS_ABBYYATES_WAITWAITWAIT_B_ENG","All","Subtitle","Abby Yates: Stop what you're doing!","Эбби Йейтс: Немедленно прекратите!","Эбби Йейтс: Немедленно прекратите!"
"CS_ABBYYATES_WAITWAITWAIT_C_ENG","All","Subtitle","Abby Yates: Police are already on their way.","Эбби Йейтс: Полиция уже едет.","Эбби Йейтс: Полиция уже едет."
"CS_ABBYYATES_WAITWAITWAIT_D_ENG","All","Subtitle","Abby Yates: It's over, you're going to jail, Rowan.","Эбби Йейтс: Всё кончено, Роуэн. Ты отправишься в тюрьму.","Эбби Йейтс: Всё кончено, Роуэн. Ты отправишься в тюрьму."
"CS_ABBYYATES_WASTHATITHUH_ENG","All","Subtitle","Abby Yates: Was that it, huh?","Эбби Йейтс: И это всё?","Эбби Йейтс: И это всё?"
"CS_ABBYYATES_WEJUSTHAVETOGO","All","Subtitle","We just have to go upstairs and ask for more money.","Нам просто нужно подняться наверх и попросить ещё денег.","Нам просто нужно подняться наверх и попросить ещё денег."
"CS_ABBYYATES_WEJUSTHAVETOGO_ENG","All","Subtitle","Abby Yates: We just have to go upstairs and ask for more money.","Эбби Йейтс: Нам просто нужно подняться наверх и попросить ещё денег.","Эбби Йейтс: Нам просто нужно подняться наверх и попросить ещё денег."
"CS_ABBYYATES_WELLGOODNEWS_ENG","All","Subtitle","Abby Yates: Well, good news. Here's your chance to work on that.","Эбби Йейтс: Что ж, отличная новость. Вот тебе шанс этим заняться.","Эбби Йейтс: Что ж, отличная новость. Вот тебе шанс этим заняться."
"CS_ABBYYATES_WELLHOWABOUTYOU_ENG","All","Subtitle","Abby Yates: Well how about you take us across the street? I got to get in there, setup. Let's go on a tour.","Эбби Йейтс: Может, тогда отвезёте нас через дорогу? Мне нужно попасть внутрь и всё подготовить. Пойдёмте на экскурсию.","Эбби Йейтс: Может, тогда отвезёте нас через дорогу? Мне нужно попасть внутрь и всё подготовить. Пойдёмте на экскурсию."
"CS_ABBYYATES_WENEEDTOREVERSE_ENG","All","Subtitle","Abby Yates: We need to reverse the portal. It's gonna take an insane amount of energy.","Эбби Йейтс: Нам нужно обратить портал вспять. Для этого потребуется невероятное количество энергии.","Эбби Йейтс: Нам нужно обратить портал вспять. Для этого потребуется невероятное количество энергии."
"CS_ABBYYATES_WEPUTAGHOSTINA_ENG","All","Subtitle","Abby Yates: We put a ghost in a box!","Эбби Йейтс: Мы поймали призрака в ловушку!","Эбби Йейтс: Мы поймали призрака в ловушку!"
"CS_ABBYYATES_WESAWAGHOST_ENG","All","Subtitle","Abby Yates: We saw a ghost!!!","Эбби Йейтс: Мы увидели призрака!!!","Эбби Йейтс: Мы увидели призрака!!!"
"CS_ABBYYATES_WHAT_ENG","All","Subtitle","Abby Yates: What?","Эбби Йейтс: Что?","Эбби Йейтс: Что?"
"CS_ABBYYATES_WHATBUILDING_ENG","All","Subtitle","Abby Yates: What building?","Эбби Йейтс: Какое здание?","Эбби Йейтс: Какое здание?"
"CS_ABBYYATES_WOOOOOOOO_ENG","All","Subtitle","Abby Yates: Woooooooo! Ohhrgggggggg.","Эбби Йейтс: Уууууу! Ооооохрррррр!","Эбби Йейтс: Уууууу! Ооооохрррррр!"
"CS_ABBYYATES_WOOOOOOOO_ENG_ALT01","All","Subtitle","Abby Yates: Woooooooo! Ohhrgggggggg.","Эбби Йейтс: Уууууу! Ооооохрррррр!","Эбби Йейтс: Уууууу! Ооооохрррррр!"
"CS_ABBYYATES_YAHWESAWAGHOST_ENG","All","Subtitle","Abby Yates: We saw a ghost!","Эбби Йейтс: Мы увидели призрака!","Эбби Йейтс: Мы увидели призрака!"
"CS_ABBYYATES_YEEEEEEOOOCCWWWWCH_ENG","All","Subtitle","Abby Yates: Yeeeeeeoooccwwwwch!!","Эбби Йейтс: Йееееееееееааааай!!","Эбби Йейтс: Йееееееееееааааай!!"
"CS_ABBYYATES_YESWERETHE_ENG","All","Subtitle","Abby Yates: Yes, we're the Ghostbusters.","Эбби Йейтс: Да, мы — Охотники за привидениями.","Эбби Йейтс: Да, мы — Охотники за привидениями."
"CS_ABBYYATES_YOUDIDNTEVEN_ENG","All","Subtitle","Abby Yates: You didn't even show up!","Эбби Йейтс: Ты даже не пришёл!","Эбби Йейтс: Ты даже не пришёл!"
"CS_ABBYYATES_YOUKNOWWHATIM_ENG","All","Subtitle","Abby Yates: You know what?!. I'm glad I didn't know any of you when you were alive, cos I don't enjoy any of you... Especially you.","Эбби Йейтс: Знаете что?!. Я рада, что не знала никого из вас при жизни, потому что вы мне совершенно не нравитесь... Особенно ты.","Эбби Йейтс: Знаете что?!. Я рада, что не знала никого из вас при жизни, потому что вы мне совершенно не нравитесь... Особенно ты."
"CS_ABBYYATES_YOUREIN_ENG","All","Subtitle","Abby Yates: You're in.","Эбби Йейтс: Ты принят.","Эбби Йейтс: Ты принят."
"CS_ABERNATHY_QUEENIEWHERE","All","Subtitle","Abernathy: Queenie, where are you going?","Абернати: Куини, ты куда?","Абернати: Куини, ты куда?"
"CS_AGENTHAWKINS_ALLRIGHT_ENG","All","Subtitle","Agent Hawkins: All right, everybody. There's no need to worry.  We have this under control.","Агент Хокинс: Хорошо, все сохраняйте спокойствие. Мы держим ситуацию под контролем.","Агент Хокинс: Хорошо, все сохраняйте спокойствие. Мы держим ситуацию под контролем."
"CS_AGENTHAWKINS_HUH_ENG","All","Subtitle","Agent Hawkins: Huh.","Агент Хокинс: Хм.","Агент Хокинс: Хм."
"CS_AGENTHAWKINS_THEMAYOR_ENG","All","Subtitle","Agent Hawkins: The mayor needs a word, ladies...","Агент Хокинс: Мэр хочет поговорить с вами, дамы...","Агент Хокинс: Мэр хочет поговорить с вами, дамы..."
"CS_AGENTSMITH_HEMEANS_ENG","All","Subtitle","Agent Smith: He means affirmative.","Агент Смит: Он имеет в виду да.","Агент Смит: Он имеет в виду да."
"CS_AGENTSMITH_VERYWELL_ENG","All","Subtitle","Agent Smith: Very well.","Агент Смит: Очень хорошо.","Агент Смит: Очень хорошо."
"CS_AIRHOSTESS_EXCUSEMEMR_ENG","All","Subtitle","Air Hostess: Excuse me, Mr Hunt?","Стюардесса: Простите, мистер Хант?","Стюардесса: Простите, мистер Хант?"
"CS_AIRHOSTESS_WOULDLIKETO_ENG","All","Subtitle","Air Hostess: Would you like to watch a movie, Mr Phelps?","Стюардесса: Не хотите посмотреть фильм, мистер Фелпс?","Стюардесса: Не хотите посмотреть фильм, мистер Фелпс?"
"CS_AIRHOSTESS_WOULDYOU_ENG","All","Subtitle","Air Hostess: Would you consider the cinema of the Caribbean?","Стюардесса: Может, посмотрим фильм с Карибов?","Стюардесса: Может, посмотрим фильм с Карибов?"
"CS_AIRHOSTESS_WOULDYOUCONSIDER_ENG","All","Subtitle","Air Hostess: Would you consider the cinema of the Ukraine?","Стюардесса: Может, посмотрим украинский фильм?","Стюардесса: Может, посмотрим украинский фильм?"
"CS_AIRHOSTESS_WOULDYOULIKE_ENG","All","Subtitle","Air Hostess: Would you like to watch a movie?","Стюардесса: Не хотите посмотреть фильм?","Стюардесса: Не хотите посмотреть фильм?"
"CS_ALFRED_AHYESMASTER_ENG","All","Subtitle","Alfred: Ah, yes. Master Grayson. Apparently you agreed to adopt him at the gala.","Альфред: Ах да, мастер Грейсон. Очевидно, на приёме вы согласились его усыновить.","Альфред: Ах да, мастер Грейсон. Очевидно, на приёме вы согласились его усыновить."
"CS_ALFRED_ALFREDPENNIWORTH_ENG","All","Subtitle","Alfred: Alfred Pennyworth at your service, ma'am.","Альфред: Альфред Пенниуорт, к вашим услугам, мэм.","Альфред: Альфред Пенниуорт, к вашим услугам, мэм."
"CS_ALFRED_ANDINTOYOURHEART_ENG","All","Subtitle","Alfred: And into your heart.","Альфред: И в ваше сердце.","Альфред: И в ваше сердце."
"CS_ALFRED_ANDNOWWEARETHERE_ENG","All","Subtitle","Alfred: And now we are there.","Альфред: Вот мы и прибыли.","Альфред: Вот мы и прибыли."
"CS_ALFRED_ANDRATHER_ENG","All","Subtitle","Alfred: And rather over-indulged yourself with lobster, I see.","Альфред: И, судя по всему, вы слегка переусердствовали с омарами.","Альфред: И, судя по всему, вы слегка переусердствовали с омарами."
"CS_ALFRED_ANDYOURENOTGOING_ENG","All","Subtitle","Alfred: And you're not going as Batman.","Альфред: И вы не пойдёте как Бэтмен.","Альфред: И вы не пойдёте как Бэтмен."
"CS_ALFRED_BECAUSEIJUSTTHIS_ENG","All","Subtitle","Alfred: Because I just this moment let him into the Batcave.","Альфред: Потому что я только что впустил его в Бэтпещеру.","Альфред: Потому что я только что впустил его в Бэтпещеру."
"CS_ALFRED_DOTRYNOTTOCAUSEA_ENG","All","Subtitle","Alfred: Do try not to cause a scene, sir.","Альфред: Постарайтесь не устраивать сцен, сэр.","Альфред: Постарайтесь не устраивать сцен, сэр."
"CS_ALFRED_IMSURPRISEDYOU_ENG","All","Subtitle","Alfred: I'm surprised you forgot, after all you also adopted an orphan at the gala.","Альфред: Удивительно, что вы забыли. Ведь на том приёме вы ещё и усыновили сироту.","Альфред: Удивительно, что вы забыли. Ведь на том приёме вы ещё и усыновили сироту."
"CS_ALFRED_MASTERBRUCEYOURE_ENG","All","Subtitle","Alfred: Master Bruce, you're going to be late for Commissioner Gordon's retirement gala.","Альфред: Мастер Брюс, вы опоздаете на торжественный вечер в честь ухода комиссара Гордона.","Альфред: Мастер Брюс, вы опоздаете на торжественный вечер в честь ухода комиссара Гордона."
"CS_ALFRED_OHDEARTHATWILLBE_ENG","All","Subtitle","Alfred: Oh dear, that will be awkward.","Альфред: Ох, это будет неловко.","Альфред: Ох, это будет неловко."
"CS_ALFRED_SIRIHAVEGRAVENEWS_ENG","All","Subtitle","Alfred: Sir, I have grave news!","Альфред: Сэр, у меня очень плохие новости!","Альфред: Сэр, у меня очень плохие новости!"
"CS_ALFRED_SIRTHEJOKERSAT_ENG","All","Subtitle","Alfred: Sir, the Joker's at Wayne Manor!","Альфред: Сэр, Джокер в поместье Уэйнов!","Альфред: Сэр, Джокер в поместье Уэйнов!"
"CS_ALFRED_THELOBSTER_ENG","All","Subtitle","Alfred: The lobster?","Альфред: Омар?","Альфред: Омар?"
"CS_ALFRED_WEREALMOSTTHERE_ENG","All","Subtitle","Alfred: We're almost there, sir.","Альфред: Мы почти прибыли, сэр.","Альфред: Мы почти прибыли, сэр."
"CS_ALFRED_WHATDIDNTHAPPEN_ENG","All","Subtitle","Alfred: What didn't happen, sir?","Альфред: А чего именно не произошло, сэр?","Альфред: А чего именно не произошло, сэр?"
"CS_ALL_AAAAAHHHHHHHHHHHHHHHH","All","Subtitle","¬","¬","¬"
"CS_AMY_HEYSONICWOOAH_ENG_EDIT","All","Subtitle","Amy: Hey, Sonic!","Эми: Привет, Соник!","Эми: Привет, Соник!"
"CS_AMY_ICOULDDOWITHTHAT_ENG","All","Subtitle","Amy: I could do with that favour now, Sonic!","Эми: Соник, мне как раз нужна та услуга!","Эми: Соник, мне как раз нужна та услуга!"
"CS_AMY_SONIIC_ENG","All","Subtitle","Amy: Soniiiiiiiiiiic!","Эми: Сонииииииииик!","Эми: Сонииииииииик!"
"CS_AMY_WOOAH_ENG_EDIT","All","Subtitle","Amy: Wooah!","Эми: Ух ты!","Эми: Ух ты!"
"CS_ANDY_AAAAAIEEEEEE_ENG","All","Subtitle","Andy: Aaaaaieeeeee!","Энди: Ааааааааа!","Энди: Ааааааааа!"
"CS_ANDY_AAAGH_ENG","All","Subtitle","¬","¬","¬"
"CS_ANDY_BRAND_ENG","All","Subtitle","¬","¬","¬"
"CS_ANDY_HELPMOUTHDATA_ENG","All","Subtitle","Andy: Help! Mouth! Data!","Энди: Помогите! Рот! Дейта!","Энди: Помогите! Рот! Дейта!"
"CS_ANDY_ICANTSWIMWITHMYHANDS_ENG","All","Subtitle","Andy: I can't swim with my hands tied!","Энди: Я не могу плавать со связанными руками!","Энди: Я не могу плавать со связанными руками!"
"CS_ANDY_MORECHEERING_ENG","All","Subtitle","¬","¬","¬"
"CS_ANDY_NONOICANTSWIMWITHMY_ENG","All","Subtitle","Andy: No, no! I can't swim with my hands tied!","Энди: Нет, нет! Я не могу плавать со связанными руками!","Энди: Нет, нет! Я не могу плавать со связанными руками!"
"CS_ANDY_YEAH_ALT02_ENG","All","Subtitle","¬","¬","¬"
"CS_ANDY_YOUGROSSOLDWITCH_ENG","All","Subtitle","Andy: You gross old witch!","Энди: Ты мерзкая старая ведьма!","Энди: Ты мерзкая старая ведьма!"
"CS_APERTUREANNOUNCE_2_ENG","All","Subtitle","Aperture Announcer: Alternate core detected.","Объявление Aperture: Обнаружен альтернативный модуль.","Объявление Aperture: Обнаружен альтернативный модуль."
"CS_APERTUREANNOUNCE_MANUAL_ENG","All","Subtitle","Aperture Announcer: Manual core replacement required.","Объявление Aperture: Требуется ручная замена модуля.","Объявление Aperture: Требуется ручная замена модуля."
"CS_APERTUREANNOUNCE_VENT_ENG_ALT02","All","Subtitle","Aperture Announcer: Vent system compromised. Neurotoxin offline.","Объявление Aperture: Нарушена работа вентиляции. Нейротоксин отключён.","Объявление Aperture: Нарушена работа вентиляции. Нейротоксин отключён."
"CS_APERTUREANNOUNCE_WARNING3_ENG_ALT01","All","Subtitle","Aperture Announcer: Warning. Core corruption at 100%.","Объявление Aperture: Внимание. Повреждение модуля — 100%.","Объявление Aperture: Внимание. Повреждение модуля — 100%."
"CS_AQUAMAN_YESWEWERE_ENG","All","Subtitle","Aquaman: Yes, we were.","Аквамен: Да, были.","Аквамен: Да, были."
"CS_ARKHAMGUARD_IFYOUCOULD_ENG","All","Subtitle","Prison Guard: If you could find where that other truck has gotten to and put it all together for us, well, we would do anything for you.","Тюремный охранник: Если бы вы смогли найти, куда подевалась остальная часть груза, и собрать всё вместе, мы были бы вам очень признательны.","Тюремный охранник: Если бы вы смогли найти, куда подевалась остальная часть груза, и собрать всё вместе, мы были бы вам очень признательны."
"CS_ARKHAMGUARD_ITSBATMANOH_ENG","All","Subtitle","Prison Guard: It's Batman! Oh my gosh, thank heavens you're here!","Тюремный охранник: Это же Бэтмен! О боже, слава небесам, вы здесь!","Тюремный охранник: Это же Бэтмен! О боже, слава небесам, вы здесь!"
"CS_ARKHAMGUARD_MEANDMY_ENG","All","Subtitle","Prison Guard: Me and my friends here have a doozy of a problem and you are just the guy to solve it, what with your obvious costume building prowess.","Тюремный охранник: У нас с друзьями возникла серьёзная проблема, а вы как раз тот, кто сможет её решить, с вашими выдающимися способностями к строительству.","Тюремный охранник: У нас с друзьями возникла серьёзная проблема, а вы как раз тот, кто сможет её решить, с вашими выдающимися способностями к строительству."
"CS_ARKHAMGUARD_SEEWEVE_ENG","All","Subtitle","Prison Guard: See, we've ordered a life-size Balrog for our role-playing session this weekend but only part of it appears to have turned up.","Тюремный охранник: Мы заказали полноразмерного Балрога для нашей ролевой игры на этих выходных, но, похоже, доставили только часть.","Тюремный охранник: Мы заказали полноразмерного Балрога для нашей ролевой игры на этих выходных, но, похоже, доставили только часть."
"CS_ARKHAMGUARD_SURE_ENG","All","Subtitle","Prison Guard: Sure!","Тюремный охранник: Конечно!","Тюремный охранник: Конечно!"
"CS_BANE_OHANDWEWERE","All","Subtitle","Bane: Oh. And we were having such a nice chase.","Бэйн: Ох. А ведь это была такая приятная погоня.","Бэйн: Ох. А ведь это была такая приятная погоня."
"CS_BARBARA_AGH_ENG","All","Subtitle","Batgirl: Agh!","Бэтгёрл: Ай!","Бэтгёрл: Ай!"
"CS_BARBARA_ALRIGHTFINEWE_ENG","All","Subtitle","Batgirl: Alright, fine, we didn't crash.","Бэтгёрл: Ладно, хорошо, мы не разбились.","Бэтгёрл: Ладно, хорошо, мы не разбились."
"CS_BARBARA_ALRIGHTTEAMLETS_ENG","All","Subtitle","Batgirl: Alright, team, let's shut him down!","Бэтгёрл: Ладно, команда, давайте его остановим!","Бэтгёрл: Ладно, команда, давайте его остановим!"
"CS_BARBARA_AREYOUSURETHERE_ENG","All","Subtitle","Batgirl: Are you sure there isn't another plan we can try?","Бэтгёрл: Ты уверена, что нет другого плана?","Бэтгёрл: Ты уверена, что нет другого плана?"
"CS_BARBARA_BATMAN_ENG","All","Subtitle","Barbara: Batman?","Барбара: Бэтмен?","Барбара: Бэтмен?"
"CS_BARBARA_BATMAN1_ENG","All","Subtitle","Batgirl: Batman!!!","Бэтгёрл: БЭТМЕН!!!","Бэтгёрл: БЭТМЕН!!!"
"CS_BARBARA_BATMANICANT_ENG","All","Subtitle","Barbara: Batman, I can't believe you did this.","Барбара: Бэтмен, не могу поверить, что ты это сделал.","Барбара: Бэтмен, не могу поверить, что ты это сделал."
