"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","SPANISH","ITALIAN","DANISH","FRENCH CANADIAN","DUTCH","MEXICAN"
"CS_COMPUTER_AREYOUSURE_ENG","All","Subtitle","Computer: Are you sure?","Computer: Are you sure?","Ordinateur : Vous êtes sûre¬?","Computer: Sind Sie sicher?","Ordenador: ¿Estás segura?","Computer: Procedere?","Er du sikker?","Ordinateur : Vous êtes sûre¬?","Computer: Weet u het zeker?","Computadora: ¿Estás segura?"
"CS_COMPUTER_CHANCEOFTOTAL_ENG","All","Subtitle","Computer: Chance of total mission failure is one-hundred-and-ten percent.","Computer: Chance of total mission failure is one-hundred-and-ten percent.","Ordinateur : Les probabilités d'échec de la mission sont de cent dix pour cent.","Computer: Chance eines totalen Misserfolgs liegt bei 110%.","Ordenador: La probabilidad de fracaso total es del ciento diez por ciento.","Computer: Le probabilità di fallimento sono del centodieci per cento.","Chancen for at fejle missionen er på 110 procent.","Ordinateur : Les probabilités d'échec de la mission sont de cent dix pour cent.","Computer: De kans op totale mislukking is 110 procent.","Computadora: La probabilidad de fracaso total es de ciento diez por ciento."
"CS_COMPUTER_CURRENTLOCATION_ENG","All","Subtitle","Computer: Current location of the Phantom Zone Projector is at Superman's Fortress of Solitude, deep inside the atomic cauldron.","Computer: Current location of the Phantom Zone Projector is at Superman's Fortress of Solitude, deep inside the atomic cauldron.","Ordinateur : Le projecteur de Zone Fantôme se trouve actuellement dans la forteresse de Solitude de Superman, au cœur du chaudron atomique.","Computer: Derzeitige Position des Phantomzonenprojektors ist Supermans Festung der Einsamkeit, innerhalb des Atomofens.","Ordenador: En este momento, dicho proyector está en la Fortaleza de la Soledad de Superman, en el interior del Caldero Atómico.","Computer: Il proiettore della Zona fantasma si trova nella fortezza della solitudine di Superman, nelle profondità del Calderone Atomico.","Aktuelt står fantomzoneprojektoren langt inde i atomkernen i Supermans hjem, Ensomhedens fæstning.","Ordinateur : Le projecteur de Zone Fantôme se trouve actuellement dans la forteresse de Solitude de Superman, au cœur du chaudron atomique.","Computer: De huidige locatie van de Phantom Zone Projector, is in Supermans Fort van Eenzaamheid, diep in de atoomketel.","Computadora: En este momento, dicho proyector está en... la fortaleza de la soledad de Superman, en el interior del Caldero Atómico."
"CS_COMPUTER_EXPORTOPTIONS_ENG","All","Subtitle","Computer: Export options.","Computer: Export options.","Ordinateur : Options d'exportation.","Computer: Exportoptionen.","Ordenador: Opciones de exportación.","Computer: Tipo di esportazione.","Eksportindstillinger.","Ordinateur : Options d'exportation.","Computer: Export-opties.","Computadora: Exportación, opciones..."
"CS_COMPUTER_HOWEVER_ENG","All","Subtitle","Computer: However, biometric analysis indicates only an object with a two-point-three-one centimetre circumference can enter the cauldron.","Computer: However, biometric analysis indicates only an object with a two-point-three-one centimetre circumference can enter the cauldron.","Ordinateur : Toutefois, les analyses biométriques indiquent que seul un objet de deux point trente et un centimètres de circonférence peut entrer dans le chaudron.","Computer: Jedoch zeigen biometrische Analysen, dass nur ein Objekt mit 2,31 Zentimeter Umfang in den Ofen gelangen kann.","Ordenador: Sin embargo, el análisis biométrico indica que solo un objeto con una circunferencia de 2,31 centímetros entrará en el caldero.","Computer: Comunque, l'analisi biometrica indica che solo un oggetto di due virgola tre uno centimetri di circonferenza può entrare nel calderone.","Men min biometriske analyse indikerer, at kun et objekt med en maksimal omkreds på 2,31 centimeter kan komme ind i kernen.","Ordinateur : Toutefois, les analyses biométriques indiquent que seul un objet de deux point trente et un centimètres de circonférence peut entrer dans le chaudron.","Computer: Biometrische analyse geeft echter aan dat alleen een voorwerp met een omtrek van 2,31 centimeter de ketel kan betreden.","Computadora: Sin embargo, el análisis biométrico indica que solo un objeto con una circunferencia de 2.31 centímetros puede entrar en el caldero."
"CS_COMPUTER_INCLUDINGTHE_ENG","All","Subtitle","Computer: Including the acid moat, ring of napalm, jaws of death.","Computer: Including the acid moat, ring of napalm, jaws of death.","Ordinateur : Notamment des douves d'acide, un cercle de napalm et les dents de la mort.","Computer: Einschließlich Säuregraben, Ring aus Napalm, Schlund des Todes.","Ordenador: Como un foso con ácido, un anillo de napalm, mandíbulas letales...","Computer: Tra cui la fossa di acido, l'anello di napalm e le fauci della morte.","Herunder syrevoldgraven, napalmringen og dødens gab.","Ordinateur : Notamment des douves d'acide, un cercle de napalm et les dents de la mort.","Computer: Waaronder de zuurgracht, de napalmring, de kaken des doods.","Computadora: Como un foso con ácido, un anillo de napalm, mandíbulas letales..."
"CS_COMPUTER_JOKERCANONLYBE_ENG","All","Subtitle","Computer: Joker can only be put in the Phantom Zone using the Phantom Zone Projector.","Computer: Joker can only be put in the Phantom Zone using the Phantom Zone Projector.","Ordinateur : Pour bannir le Joker dans la Zone Fantôme, utilisez le projecteur de Zone Fantôme.","Computer: Joker kann nur mithilfe des Phantomzonenprojektors in die Phantomzone gebracht werden.","Ordenador: Solo es posible meter al Joker en la Zona Fantasma con el proyector de la Zona Fantasma.","Computer: Il Joker può entrare nella Zona fantasma solo col proiettore della Zona fantasma.","Du skal brge fantomzoneprojektoren for at sende Jokeren til fantomzonen.","Ordinateur : Pour bannir le Joker dans la Zone Fantôme, utilisez le projecteur de Zone Fantôme.","Computer: Hij kan alleen met de Phantom Zone Projector in de Phantom Zone worden geplaatst.","Computadora: Solo es posible meter al Guasón en la Zona Fantasma con el proyector de la Zona Fantasma."
"CS_COMPUTER_OHMY_ENG","All","Subtitle","Computer: Oh my.","Computer: Oh my.","Ordinateur : Mon dieu...","Computer: Oje.","Ordenador: Cielos...","Computer: Cavolo.","Åh, nej.","Ordinateur : Mon dieu...","Computer: O jee.","Computadora: Cielos..."
"CS_COMPUTER_PLEASEDONT_ENG","All","Subtitle","Computer: Please don't.","Computer: Please don't.","Ordinateur : Ne faites pas ça.","Computer: Bitte nicht.","Ordenador: Por favor, no.","Computer: Non farlo.","Lad venligst være.","Ordinateur : Ne faites pas ça.","Computer: Doe het niet.","Computadora: Por favor, no."
"CS_COMPUTER_RELEASEALL_ENG","All","Subtitle","Computer: Release all inmates.","Computer: Release all inmates.","Ordinateur : Libérer tous les prisonniers.","Computer: Alle Insassen befreien.","Ordenador: Liberar a los presos.","Computer: Liberare i detenuti.","Frigiv alle indsatte.","Ordinateur : Libérer tous les prisonniers.","Computer: Bevrijd alle gevangenen.","Computadora: Liberar a todos los presos."
"CS_COMPUTER_RELEASINGALL_ENG","All","Subtitle","Computer: Releasing all inmates.","Computer: Releasing all inmates.","Ordinateur : Libération de tous les prisonniers.","Computer: Alle Insassen werden befreit.","Ordenador: Liberando a los presos.","Computer: Liberazione detenuti.","Frigiver alle indsatte.","Ordinateur : Libération de tous les prisonniers.","Computer: Alle gevangenen worden bevrijd.","Computadora: Liberando a los presos."
"CS_COWARDLYLION_AARGH","All","Subtitle","Cowardly Lion: Aargh!","Cowardly Lion: Aargh!","Lion peureux : Aargh¬!","Feiger Löwe: Uah!","León cobarde: ¡Aargh!","Leone codardo: Aargh!","¬","Lion peureux : Aargh¬!","Laffe leeuw: Argh.","León cobarde: ¡Aaah!"
"CS_COWARDLYLION_ISEESOMETHINGSCARY","All","Subtitle","Cowardly Lion: I s...s...see something scary!","Cowardly Lion: I s...s...see something scary!","Lion peureux : J'ai... J'ai vu quelque chose d'effrayant¬!","Feiger Löwe: Ich s-s-sehe etwas schreckliches!","León cobarde: ¡Veo algo que, que, que me da miedo!","Leone codardo: Che cosa spaventosa!","Jeg kan se noget farligt!","Lion peureux : J'ai... J'ai vu quelque chose d'effrayant¬!","Laffe leeuw: Ik z-z-ie iets engs!","León cobarde: ¡Veo a-a-aalgo escalofriaaaante!"
"CS_COYOTE_NOISPEAKOFA_ENG","All","Subtitle","Coyote: No, I speak of a deeper wisdom. The problem, Homer, is that the mind is always chattering away, with a thousand thoughts at once.","Coyote: No, I speak of a deeper wisdom. The problem, Homer, is that the mind is always chattering away, with a thousand thoughts at once.","Coyote : Non, je parle d'une profonde sagesse. Le problème, Homer, c'est que l'esprit ne cesse d'être encombré par les milliers de pensées qui l'assaillent.","Kojote: Nein, ich rede von einer tieferen Weisheit. Das Problem, Homer, liegt darin, dass der Verstand einem immer mit ... tausend Gedanken auf einmal davonschnurrt.","Coyote: No, hablo de algo más profundo. El problema, Homer, es que la mente está siempre ocupada charlando, pero con mil pensamientos a la vez.","Coyote: No. È la saggezza interiore. Il problema, Homer, è che la nostra mente ciarla continuamente... con mille pensieri alla volta.","Nej, det, jeg taler om, er en større visdom. Problemet er, Homer, at sindet med dets tusind tanker på samme tid aldrig nogensinde er stille.","Coyote : Non, je parle d'une profonde sagesse. Le problème, Homer, c'est que l'esprit ne cesse d'être encombré par les milliers de pensées qui l'assaillent.","Coyote: Ik heb het over een diepere wijsheid. Maar het probleem is, Homer, dat je brein maar raak lult. De gedachten vliegen door je hoofd.","Coyote: No, estoy hablando de sabiduría. El problema, Homero, es que la mente siempre está divagando con mil pensamientos a la vez."
"CS_COYOTE_THEREISALESSON_ENG","All","Subtitle","Coyote: There is a lesson you must learn.","Coyote: There is a lesson you must learn.","Coyote : Il y a une leçon que tu dois apprendre.","Kojote: Es gibt eine Lektion, die du lernen musst.","Coyote: Debes aprender una lección.","Coyote: Devi imparare bene una lezione.","Der er noget vigtigt, du skal lære.","Coyote : Il y a une leçon que tu dois apprendre.","Coyote: Dit is vast een wijze les.","Coyote: Debes aprender algo."
"CS_COYOTE_TOMAKEYOURSELF_B_ENG","All","Subtitle","Coyote: You must find your soulmate.","Coyote: You must find your soulmate.","Coyote : Il faut que tu trouves ton âme sœur.","Kojote: Du musst deinen Seelenpartner finden.","Coyote: Has de encontrar a tu alma gemela.","Coyote: Devi trovare la tua anima gemella.","For at blive komplet må du finde din åndsfrænde.","Coyote : Il faut que tu trouves ton âme sœur.","Coyote: Moet je je zielsverwant vinden.","Coyote: Busca a tu alma gemela."
"CS_COYOTE_YOURKINDREDSPIRIT_ENG","All","Subtitle","Coyote: Your kindred spirit. The one with whom you share an unspoken bond.","Coyote: Your kindred spirit. The one with whom you share an unspoken bond.","Coyote : Celle qui est ton double. Celle à qui tu es uni par des liens invisibles.","Kojote: Deinen Seelenverwandten. An den dich unausgesprochene Bande fesseln.","Coyote: Tu espíritu afín. Aquel con el que compartes un lazo tácito.","Coyote: Uno spirito affine, qualcuno con cui condividere un legame.","Din sjæleven. Som du deler et uudtalt bånd med.","Coyote : Celle qui est ton double. Celle à qui tu es uni par des liens invisibles.","Coyote: Een verwante geest. Iemand met wie je kunt lezen en schrijven.","Coyote: Tu espíritu hermano. Con el que tienes un lazo cósmico."
"CS_CREDENCE_BUTYOUSAIDYOU","All","Subtitle","Credence: But you said you could teach me.","Credence: But you said you could teach me.","Credence : Vous disiez pouvoir m'apprendre.","Credence: Aber Sie sagten, Sie würden mich lehren¬...","Credence: Pero usted dijo que me enseñaría","Credence: Dicevi che mi avresti insegnato...","Du sagde, du kunne lære mig det.","Credence : Vous disiez pouvoir m'apprendre.","Koenraad: Maar je zei dat je me het kon leren.","Credence: Pero dijo que me enseñaría."
"CS_CREDENCE_DYOUTHINKIMA","All","Subtitle","Credence: D'you think I'm a freak?","Credence: D'you think I'm a freak?","Credence : Je suis un monstre pour vous¬?","Credence: Halten Sie mich für einen Freak?","Credence: ¿Me cree un monstruo?","Credence: Mi crede un mostro?","Synes ... synes du, jeg er sær?","Credence : Je suis un monstre pour vous¬?","Koenraad: Vind je me een gedrocht?","Credence: ¿Me cree un monstruo?"
"CS_CREDENCE_IMSORRYMAIDIDNT","All","Subtitle","Credence: I'm sorry, Ma. I didn't realise it was so late.","Credence: I'm sorry, Ma. I didn't realize it was so late.","Credence : Pardon, maman. J'pensais pas qu'il était si tard.","Credence: Es tut mir leid, Mutter. Ich wusste nicht, dass es so spät ist.","Credence: Lo siento, Ma... No sabía que era tan tarde.","Credence: Scusa ma... non credevo fosse così tardi.","Undskyld. Undskyld, mor. Jeg vidste ikke, det var blevet så sent.","Credence : Pardon, maman. J'pensais pas qu'il était si tard.","Koenraad: Het spijt me, mam. Ik wist niet dat het zo laat was.","Credence: Lo siento, Ma... No sabía que era tan tarde."
"CS_CREDENCE_IMSTILLLOOKING","All","Subtitle","Credence: I'm still looking.","Credence: I'm still looking.","Credence : Je cherche encore.","Credence: Ich suche immer noch.","Credence: Sigo buscando.","Credence: Sto ancora guardando.","Jeg leder stadig.","Credence : Je cherche encore.","Koenraad: Ik blijf zoeken.","Credence: Sigo buscando."
"CS_CREDENCE_IWASLOOKINGFORA","All","Subtitle","Credence: I was... looking for a place for tomorrow's meeting.","Credence: I was... looking for a place for tomorrow's meeting.","Credence : Je cherchais un bon endroit pour la réunion de demain.","Credence: Ich habe nach einem Treffpunkt für morgen gesucht.","Credence: Buscaba un sitio para la reunión de mañana.","Credence: Cercavo un posto per l'incontro di domani.","Jeg ledte efter et godt sted at holde mødet i morgen.","Credence : Je cherchais un bon endroit pour la réunion de demain.","Koenraad: Ik zocht een plek voor de bijeenkomst van morgen.","Credence: Buscaba... un sitio para la reunión de mañana."
"CS_CREDENCE_MRGRAVESIFI","All","Subtitle","Credence: Mr Graves, if I knew whether it was a boy or a girl, even...","Credence: Mr Graves, if I knew whether it was a boy or a girl, even...","Credence : Monsieur Graves, si je savais si c'est un garçon ou une fille, je...","Credence: Mr. Graves, wenn ich nur wüsste, ob es sich um einen Jungen oder ein Mädchen handelt¬...","Credence: Sr. Graves, si supiera siquiera si es varón o hembra...","Credence: Signor Graves, se solo sapessi se si tratta di un maschio o una femmina...","Hr. Graves, hvis jeg bare vidste, om det var en dreng eller pige ...","Credence : Monsieur Graves, si je savais si c'est un garçon ou une fille, je...","Koenraad: Mr. De Graaf, wist ik maar of het een jongen of meisje is...","Credence: Sr. Graves, si supiera siquiera si es chico o chica..."
"CS_CREDENCE_NO_ENG","All","Subtitle","Credence: NO!","Credence: NO!","Credence : NON¬!","Credence: NEIN!","Credence: ¡No!","Credence: NO!","Nej!","Credence : NON¬!","Koenraad: Nee!","Credence: ¡NO!"
"CS_CREDENCE_PLEASEMA_ENG","All","Subtitle","Credence: Please, Ma.","Credence: Please, Ma.","Credence : S'il te plaît, Maman.","Credence: Bitte, Mutter.","Credence: Por favor, Ma.","Credence: Per favore, Ma.","Jeg beder dig, mor.","Credence : S'il te plaît, Maman.","Koenraad: Alsjeblieft, mam.","Credence: Por favor, Ma."
"CS_CREDENCE_WHEREDYOUGET","All","Subtitle","Credence: Where'd you get this?","Credence: Where'd you get this?","Credence : Où avez-vous eu ça¬?","Credence: Wo hast du das her?","Credence: ¿De dónde lo ha sacada?","Credence: Dove l'hai preso?","Hvor har du den fra?","Credence : Où avez-vous eu ça¬?","Koenraad: Hoe kom je hier aan?","Credence: ¿De dónde lo sacó?"
"CS_CREDENCE_WHYDYOUCHOOSEME_ENG","All","Subtitle","Credence: Why'd you choose me to help you?","Credence: Why'd you choose me to help you?","Credence : Pourquoi m'avoir choisi moi¬?","Credence: Warum wollen Sie, dass ich Ihnen helfe?","Credence: ¿Por qué ha querido que lo ayudara?","Credence: Perché hai scelto me per aiutarti?","Hvorfor valgte du mig til at hjælpe dig?","Credence : Pourquoi m'avoir choisi moi¬?","Koenraad: Waarom moest ik je helpen?","Credence: ¿Por qué quiso que lo ayudara?"
"CS_CREDENCE_WHYME_ENG","All","Subtitle","Credence: Why me?","Credence: Why me?","Credence : Pourquoi moi¬?","Credence: Warum ich?","Credence: ¿Por qué yo?","Credence: Perché io?","Hvorfor mig?","Credence : Pourquoi moi¬?","Koenraad: Waarom ik?","Credence: ¿Por qué yo? ¿Por qué quiso que lo ayudara?"
"CS_CROWD_OOOH_ENG","All","Subtitle","Crowd: Oooh!","Crowd: Oooh!","Foule : Oooh¬!","Menge: Oooh!","Multitud: ¡Ooooh!","¬","¬","Foule : Oooh¬!","¬","¬"
"CS_CROWD_YAYCHEERS_ENG","All","Subtitle","Crowd: Yay! Cheers!","Crowd: Yay! Cheers!","Foule : Oui¬! Bravo¬!","Menge: Ja! Hurrah!","Multitud: ¡Sí! ¡Viva!","¬","¬","Foule : Oui¬! Bravo¬!","Publiek: Super. Proost.","¬"
"CS_CROWDMEMBER_SOWEREJUST_ENG","All","Subtitle","Female Gotham Citizen: So we're just gonna keep staring upwards, right?","Female Gotham Citizen: So we're just gonna keep staring upwards, right?","Citoyenne de Gotham : Alors on va continuer à regarder en haut, c'est ça¬?","Bürgerin Gothams: Also starren wir jetzt einfach weiter nach oben, ja?","Ciudadana de Gotham: Nos quedamos mirando para arriba, ¿no?","Cittadina di Gotham: Quindi dobbiamo continuare a guardare in alto, vero?","Vi skal bare blive ved med at kigge opad, ik'?","Citoyenne de Gotham : Alors on va continuer à regarder en haut, c'est ça¬?","Vrouwelijke burger van Gotham: Blijven we nu de hele tijd naar boven staren?","Mujer de Ciudad Gótica: Nos quedamos mirando para arriba, ¿no?"
"CS_CUSTOMSOFFICIAL_ANYTHING","All","Subtitle","Anything edible in there?","Anything edible in there?","Rien de comestible là-dedans¬?","Sind da Lebensmittel drin?","¿Lleva algo comestible?","Doganiere: Qualcosa di commestibile?","Er der noget spiseligt derinde?","Rien de comestible là-dedans¬?","Zitten er etenswaren in?","¿Lleva algo comestible?"
"CS_CUSTOMSOFFICIAL_LETME","All","Subtitle","Let me take a look.","Let me take a look.","Veuillez ouvrir.","Aufmachen, bitte.","Vamos a ver.","Doganiere: Diamo un'occhiata.","Lad mig nu se.","Veuillez ouvrir.","Laat me even kijken.","Echaré un vistazo."
"CS_CUSTOMSOFFICIAL_LIVESTOCK","All","Subtitle","Livestock?","Livestock?","Du bétail¬?","Lebende Tiere?","¿Animales?","Doganiere: Animali?","Husdyr?","Du bétail¬?","Levende dieren?","¿Animales?"
"CS_CUSTOMSOFFICIAL_NEXT","All","Subtitle","Next!","Next!","Au suivant¬!","Nächster!","¡Siguiente!","Doganiere: Prossimo!","Næste!","Au suivant¬!","Volgende!","¡Siguiente!"
"CS_CYBERCONTROLLER_ORGANICLIFEFORMS_ENG","All","Subtitle","CyberKing: Organic lifeforms located. You will become like us.","CyberKing: Organic lifeforms located. You will become like us.","CyberKing : Spécimens oragniques détectés. Vous allez devenir comme nous.","Cyber-King: Organische Lebensformen geortet. Ihr werdet zu uns gemacht.","CyberRey: Formas de vida localizadas. Seréis como nosotros.","CyberKing: Forme di vita organiche rilevate. Diventerete anche voi come noi.","Organisk livsform opdaget. I vil blive lige som os.","CyberKing : Spécimens oragniques détectés. Vous allez devenir comme nous.","Cyberkoning: Organische levensvormen ontdekt. Jullie worden zoals wij.","Ciberrey: Formas de vida orgánicas localizadas. Serán uno de nosotros."
"CS_CYBERCONTROLLER_UPGRADECOMPLETE_ENG","All","Subtitle","CyberKing: Upgrade complete.","CyberKing: Upgrade complete.","CyberKing : Amélioration terminée.","Cyber-King: Upgrade bereit.","CyberRey: Mejora completada.","CyberKing: Aggiornamento completato.","Opgradering gennemført.","CyberKing : Amélioration terminée.","Cyberkoning: Upgrade voltooid.","Ciberrey: Mejora completada."
"CS_DALEK_BATTLECOMPUTERS_ENG","All","Subtitle","Dalek: Battle computers estimate a ninety-seven percent chance that it is The Doctor!","Dalek: Battle computers estimate a ninety-seven percent chance that it is The Doctor!","Dalek : Les ordinateurs de combat estiment à 97¬% les chances que ce soit Le Docteur¬!","Dalek: Schlachtcomputer errechnen, dass es mit 97%iger Sicherheit der Doktor ist!","Dalek: ¡Se estima un noventa y siete por ciento de probabilidad de que sea el Doctor!","Dalek: I computer da battaglia stimano che quello sia il Dottore al novantasette percento.","Kampsystemerne estimerer at der er 97 procent chance for, at det er doktoren!","Dalek : Les ordinateurs de combat estiment à 97¬% les chances que ce soit Le Docteur¬!","Dalek: De gevechtscomputers schatten de kans op 97 procent dat het de Doctor is.","Dalek: ¡Las computadoras de batalla calculan 97 % de posibilidad de que sea el Doctor!"
"CS_DALEK_DALEKSCONQUER","All","Subtitle","Dalek: Daleks conquer and destroy!","Dalek: Daleks conquer and destroy!","Dalek : Les Daleks conquièrent et détruisent¬!","Dalek: Daleks erobern und vernichten!","Dalek: ¡Los Daleks conquistan y destruyen!","Dalek: I Dalek conquistano e distruggono!","Dalek besejrer og ødelægger!","Dalek : Les Daleks conquièrent et détruisent¬!","Dalek: Daleks veroveren en verwoesten!","Dalek: ¡Los daleks conquistan y destruyen!"
"CS_DALEK_DONOTMOVE","All","Subtitle","Dalek: Do not move!","Dalek: Do not move!","Dalek : Pas un geste¬!","Dalek: Keine Bewegung.","Dalek: ¡No os mováis!","Dalek: Non muovetevi!","Rør jer ikke!","Dalek : Pas un geste¬!","Dalek: Sta stil!","Dalek: ¡No se muevan!"
"CS_DALEK_DONOTRESISTTHEWILL_ENG","All","Subtitle","Dalek: Do not resist the will of the Daleks! All humans must present themselves for processing!","Dalek: Do not resist the will of the Daleks! All humans must present themselves for processing!","Dalek : Ne résistez pas à la volonté des Daleks¬! Tous les humains doivent se présenter pour transformation¬!","Dalek: Widersetzt euch nicht dem Willen der Daleks! Alle Menschen müssen sich zur Verarbeitung einfinden!","Dalek: ¡No os resistáis a la voluntad de los Daleks! ¡Todos los humanos deben presentarse en un punto de control Dalek para su procesado!","Dalek: Non resistete alla volontà dei Dalek! Tutti gli umani si presentino a un punto di controllo Dalek per essere processati!","Bekæmp ikke dalekernes vilje. Alle mennesker skal møde op til behandling.","Dalek : Ne résistez pas à la volonté des Daleks¬! Tous les humains doivent se présenter pour transformation¬!","Dalek: Verzet je niet tegen de wil van de Daleks. Alle mensen moeten zich voor verwerking melden bij een Dalek-controlepunt.","Dalek: ¡No se resistan a la voluntad de los daleks! ¡Todos los humanos deben presentarse para procesarlos!"
"CS_DALEK_ENEMIESOFTHEDALEKS","All","Subtitle","Dalek: Enemies of the Daleks will be exterminated!","Dalek: Enemies of the Daleks will be exterminated!","Dalek : Les ennemis des Daleks seront exterminés¬!","Dalek: Gegner der Daleks werden eliminiert.","Dalek: ¡Los enemigos de los Daleks serán exterminados!","Dalek: I nemici dei Dalek saranno sterminati!","Daleks fjender vil blive tilintetgjort.","Dalek : Les ennemis des Daleks seront exterminés¬!","Dalek: Vijanden van de Daleks worden vernietigd!","Dalek: ¡Los enemigos de los daleks serán exterminados!"
"CS_DALEK_ENTER_ENG","All","Subtitle","Dalek: Enter!","Dalek: Enter!","Dalek : Entrez¬!","Dalek: Hinein!","Dalek: ¡Entra!","Dalek: Entra!","Gå ind!","Dalek : Entrez¬!","Dalek: Binnen.","Dalek: ¡Entra!"
"CS_DALEK_EXTERMINATE","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminez¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminez¬!","Dalek: Vernietigen!","Dalek: ¡Exterminar!"
"CS_DALEK_EXTERMINATE_ENG","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminer¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminer¬!","Dalek: Uitroeien.","Dalek: ¡Exterminar!"
"CS_DALEK_EXTERMINATE1_ENG","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminer¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminer¬!","Dalek: Uitroeien.","Dalek: ¡Exterminar!"
"CS_DALEK_EXTERMINATE2_ENG","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminer¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminer¬!","Dalek: Uitroeien.","Dalek: ¡Exterminar!"
"CS_DALEK_EXTERMINATE3_ENG","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminer¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminer¬!","Dalek: Uitroeien.","Dalek: ¡Exterminar!"
"CS_DALEK_EXTERMINATEANNIHILATE","All","Subtitle","Dalek: Exterminate, annihilate, destroy!","Dalek: Exterminate, annihilate, destroy!","Dalek : Exterminez, éradiquez, détruisez¬!","Dalek: Eliminieren, vernichten, zerstören.","Dalek: ¡Exterminar, aniquilar, destruir!","Dalek: Sterminare, annientare, distruggere!","Udryd! Tilintetgør! Destruér!","Dalek : Exterminez, éradiquez, détruisez¬!","Dalek: Vernietigen, uitroeien, verwoesten!","Dalek: ¡Exterminar, aniquilar, destruir!"
"CS_DALEK_EXTERMINATEBEATI_ENG","All","Subtitle","Dalek: Exterminate!","Dalek: Exterminate!","Dalek : Exterminer¬!","Dalek: Eliminieren!","Dalek: ¡Exterminar!","Dalek: Sterminare!","Tilintetgør!","Dalek : Exterminer¬!","Dalek: Uitroeien.","Dalek: ¡Exterminar!"
"CS_DALEK_HOSTILESLOCATED","All","Subtitle","Dalek: Hostiles located! Do not move!","Dalek: Hostiles located! Do not move!","Dalek : Ennemis détectés¬! Ne bougez pas¬!","Dalek: Feinde geortet. Stehenbleiben.","Dalek: ¡Hostiles localizados! ¡No os mováis!","Dalek: Creature ostili rilevate! Non muovetevi!","Fjender opdaget! Rør jer ikke!","Dalek : Ennemis détectés¬! Ne bougez pas¬!","Dalek: Vijanden ontdekt! Sta stil!","Dalek: ¡Objetivos hostiles! ¡No se muevan!"
"CS_DALEK_INTRUDERDETECTEDIN_ENG","All","Subtitle","Dalek: Intruder detected in Sector Twelve!","Dalek: Intruder detected in Sector Twelve!","Dalek : Intrusion détectée dans le Secteur 12¬!","Dalek: Eindringlingsalarm in Sektor Zwölf!","Dalek: ¡Intruso detectado en el Sector Doce!","Dalek: Intruso rilevato nel settore dodici!","Indtrænger opdaget i sektor 12.","Dalek : Intrusion détectée dans le Secteur 12¬!","Dalek: Indringer gedetecteerd in sector twaalf.","Dalek: ¡Intruso detectado en el Sector Doce!"
"CS_DALEK_LOCATETHEDOCTOR","All","Subtitle","Dalek: Locate the Doctor!","Dalek: Locate the Doctor!","Dalek : Trouvez Le Docteur¬!","Dalek: Findet den Doktor!","Dalek: ¡Localizad al Doctor!","Dalek: Trovate il Dottore!","Find doktoren!","Dalek : Trouvez Le Docteur¬!","Dalek: Zoek de Doctor!","Dalek: ¡Localicen al Doctor!"
"CS_DALEK_OBEYTHEDALEKS","All","Subtitle","Dalek: Obey the Daleks!","Dalek: Obey the Daleks!","Dalek : Obéissez aux Daleks¬!","Dalek: Gehorcht den Daleks!","Dalek: ¡Obedeced a los Daleks!","Dalek: Obbedite ai Dalek!","Adlyd dalekerne!","Dalek : Obéissez aux Daleks¬!","Dalek: Gehoorzaam de Daleks!","Dalek: ¡Obedezcan a los daleks!"
"CS_DALEK_REACTIVATING","All","Subtitle","Dalek: Re-activating... Re-activating...","Dalek: Re-activating... Re-activating...","Dalek : Réactivation... Réactivation...","Dalek: Reaktiviere ... reaktiviere¬...","Dalek: Reactivando... Reactivando...","Dalek: Riattivazione... ri-attivazione...","Genaktiverer ... genaktiverer ...","Dalek : Réactivation... Réactivation...","Dalek: Heractiveren... heractiveren...","Dalek: Reactivando... Reactivando..."
"CS_DALEK_THEDOCTOR","All","Subtitle","Dalek: The Doctor must be exterminated!","Dalek: The Doctor must be exterminated!","Dalek : Le Docteur doit être exterminé¬!","Dalek: Der Doktor muss eliminiert werden.","Dalek: ¡El Doctor debe ser exterminado!","Dalek: Il Dottore dev'essere sterminato!","Doktoren skal udslettes helt og aldeles!","Dalek : Le Docteur doit être exterminé¬!","Dalek: De Doctor moet worden vernietigd!","Dalek: ¡El Doctor debe ser exterminado!"
